dt,_col1
2023-01-01,113981105
2023-01-02,121528022
2023-01-03,118535848
2023-01-04,115550948
2023-01-05,118997351
2023-01-06,116629609
2023-01-07,111341577
2023-01-08,112208464
2023-01-09,115244380
2023-01-10,116959013
2023-01-11,114791704
2023-01-12,113614096
2023-01-13,114899920
2023-01-14,116977809
2023-01-15,119623561
2023-01-16,111753955
2023-01-17,96590070
2023-01-18,84332376
2023-01-19,76184130
2023-01-20,66014738
2023-01-21,38361055
2023-01-22,29242625
2023-01-23,33189589
2023-01-24,37888371
2023-01-25,43314205
2023-01-26,47228545
2023-01-27,53955008
2023-01-28,102741729
2023-01-29,77125131
2023-01-30,80220334
2023-01-31,85982117
2023-02-01,95090554
2023-02-02,94386549
2023-02-03,89791738
2023-02-04,81349537
2023-02-05,77091840
2023-02-06,80068235
2023-02-07,81321353
2023-02-08,81599225
2023-02-09,81400131
2023-02-10,84199631
2023-02-11,81717258
2023-02-12,82093790
2023-02-13,84996861
2023-02-14,81143311
2023-02-15,79064412
2023-02-16,75978525
2023-02-17,75281047
2023-02-18,73971288
2023-02-19,74833968
2023-02-20,82175169
2023-02-21,83343638
2023-02-22,84020405
2023-02-23,78889895
2023-02-24,74839347
2023-02-25,75048362
2023-02-26,75744885
2023-02-27,80782471
2023-02-28,88163515
2023-03-01,90201140
2023-03-02,88204846
2023-03-03,87741958
2023-03-04,89733749
2023-03-05,91616034
2023-03-06,94810101
2023-03-07,97664341
2023-03-08,100813673
2023-03-09,94951978
2023-03-10,88428565
2023-03-11,77906182
2023-03-12,76523331
2023-03-13,78532623
2023-03-14,79865880
2023-03-15,83600287
2023-03-16,81007440
2023-03-17,77810254
2023-03-18,73977892
2023-03-19,74468776
2023-03-20,80664179
2023-03-21,79791164
2023-03-22,80354216
2023-03-23,80328013
2023-03-24,79695372
2023-03-25,77251647
2023-03-26,76275699
2023-03-27,81515085
2023-03-28,81608200
2023-03-29,78954505
2023-03-30,78560364
2023-03-31,77820457
2023-04-01,78095971
2023-04-02,78103667
2023-04-03,82339770
2023-04-04,80975223
2023-04-05,83588565
2023-04-06,90621451
2023-04-07,82019857
2023-04-08,76818650
2023-04-09,76060867
2023-04-10,83486333
2023-04-11,82947958
2023-04-12,82091336
2023-04-13,80126848
2023-04-14,79617039
2023-04-15,78440120
2023-04-16,77354986
2023-04-17,82956103
2023-04-18,84864782
2023-04-19,86630282
2023-04-20,90568771
2023-04-21,86131450
2023-04-22,81420495
2023-04-23,82880902
2023-04-24,86649756
2023-04-25,88172273
2023-04-26,85153893
2023-04-27,83533780
2023-04-28,79703043
2023-04-29,66849759
2023-04-30,64750371
2023-05-01,65644552
2023-05-02,67155700
2023-05-03,71785166
2023-05-04,118915426
2023-05-05,88517613
2023-05-06,85134494
2023-05-07,80989742
2023-05-08,82757294
2023-05-09,83519936
2023-05-10,85865561
2023-05-11,83819336
2023-05-12,82656203
2023-05-13,79271351
2023-05-14,78048699
2023-05-15,85726164
2023-05-16,86866563
2023-05-17,87122110
2023-05-18,86243451
2023-05-19,85476423
2023-05-20,83676682
2023-05-21,78159393
2023-05-22,79046423
2023-05-23,85852903
2023-05-24,96150885
2023-05-25,101059940
2023-05-26,92130386
2023-05-27,89249831
2023-05-28,89867731
2023-05-29,94640301
2023-05-30,95839247
2023-05-31,143235706
2023-06-01,201922192
2023-06-02,179654161
2023-06-03,140287667
2023-06-04,126217314
2023-06-05,120773813
2023-06-06,120788598
2023-06-07,117102139
2023-06-08,120604630
2023-06-09,129800744
2023-06-10,127207137
2023-06-11,123998911
2023-06-12,130270886
2023-06-13,139416196
2023-06-14,139141192
2023-06-15,166959798
2023-06-16,182648320
2023-06-17,200383695
2023-06-18,248293302
2023-06-19,229796458
2023-06-20,150329797
2023-06-21,111282917
2023-06-22,88658747
2023-06-23,82362512
2023-06-24,83565262
2023-06-25,87328450
2023-06-26,86908933
2023-06-27,88658739
2023-06-28,97301133
2023-06-29,99251717
2023-06-30,101164253
2023-07-01,105554766
2023-07-02,102194402
2023-07-03,92236364
2023-07-04,91451701
2023-07-05,91321104
2023-07-06,91778087
2023-07-07,95804203
2023-07-08,99267488
2023-07-09,97541645
2023-07-10,103018184
2023-07-11,103213435
2023-07-12,107595463
2023-07-13,100451304
2023-07-14,100859256
2023-07-15,99336771
2023-07-16,96729717
2023-07-17,99955309
2023-07-18,100301319
2023-07-19,99267972
2023-07-20,100999665
2023-07-21,95901543
2023-07-22,92002239
2023-07-23,91591024
2023-07-24,95061162
2023-07-25,95813807
2023-07-26,92624018
2023-07-27,93812984
2023-07-28,92987085
2023-07-29,88195078
2023-07-30,88460309
2023-07-31,92135757
2023-08-01,101326838
